date,component,value
2017-11-06,wiki_ext,11342
2017-11-07,wiki_ext,12215
2017-11-08,wiki_ext,11425
2017-11-09,wiki_ext,10400
2017-11-10,wiki_ext,8895
2017-11-11,wiki_ext,6848
2017-11-12,wiki_ext,7443
2017-11-13,wiki_ext,10266
2017-11-14,wiki_ext,10581
2017-11-15,wiki_ext,10607
2017-11-16,wiki_ext,9885
2017-11-17,wiki_ext,9422
2017-11-18,wiki_ext,6627
2017-11-19,wiki_ext,8078
2017-11-20,wiki_ext,11104
2017-11-21,wiki_ext,15959
2017-11-22,wiki_ext,21865
2017-11-23,wiki_ext,21331
2017-11-24,wiki_ext,12134
2017-11-25,wiki_ext,11912
2017-11-26,wiki_ext,12697
2017-11-27,wiki_ext,13907
2017-11-28,wiki_ext,11265
2017-11-29,wiki_ext,12388
2017-11-30,wiki_ext,13105
2017-12-01,wiki_ext,11604
2017-12-02,wiki_ext,7880
2017-12-03,wiki_ext,9171
2017-12-04,wiki_ext,15244
2017-12-05,wiki_ext,14053
2017-12-06,wiki_ext,13923
2017-12-07,wiki_ext,45181
2017-12-08,wiki_ext,197635
2017-12-09,wiki_ext,236920
2017-12-10,wiki_ext,109964
2017-12-11,wiki_ext,84957
2017-12-12,wiki_ext,51710
2017-12-13,wiki_ext,41389
2017-12-14,wiki_ext,28458
2017-12-15,wiki_ext,18194
2017-12-16,wiki_ext,13761
2017-12-17,wiki_ext,13330
2017-12-18,wiki_ext,15090
2017-12-19,wiki_ext,13077
2017-12-20,wiki_ext,11085
2017-12-21,wiki_ext,10593
2017-12-22,wiki_ext,8725
2017-12-23,wiki_ext,8449
2017-12-24,wiki_ext,7772
2017-12-25,wiki_ext,16415
2017-12-26,wiki_ext,15047
2017-12-27,wiki_ext,10148
2017-12-28,wiki_ext,24774
2017-12-29,wiki_ext,19970
2017-12-30,wiki_ext,64373
2017-12-31,wiki_ext,51649
2018-01-01,wiki_ext,18211
2018-01-02,wiki_ext,18843
2018-01-03,wiki_ext,20672
2018-01-04,wiki_ext,15259
2018-01-05,wiki_ext,11245
2018-01-06,wiki_ext,9295
2018-01-07,wiki_ext,9239
2018-01-08,wiki_ext,10081
2018-01-09,wiki_ext,11667
2018-01-10,wiki_ext,11051
2018-01-11,wiki_ext,11050
2018-01-12,wiki_ext,11283
2018-01-13,wiki_ext,8342
2018-01-14,wiki_ext,8849
2018-01-15,wiki_ext,10197
2018-01-16,wiki_ext,11937
2018-01-17,wiki_ext,12975
2018-01-18,wiki_ext,11032
2018-01-19,wiki_ext,10435
2018-01-20,wiki_ext,9250
2018-01-21,wiki_ext,10085
2018-01-22,wiki_ext,11342
2018-01-23,wiki_ext,12912
2018-01-24,wiki_ext,12041
2018-01-25,wiki_ext,10476
2018-01-26,wiki_ext,9562
2018-01-27,wiki_ext,8153
2018-01-28,wiki_ext,9413
2018-01-29,wiki_ext,10131
2018-01-30,wiki_ext,12104
2018-01-31,wiki_ext,10234
2018-02-01,wiki_ext,11109
2018-02-02,wiki_ext,11292
2018-02-03,wiki_ext,7463
2018-02-04,wiki_ext,8515
2018-02-05,wiki_ext,11413
2018-02-06,wiki_ext,19223
2018-02-07,wiki_ext,15231
2018-02-08,wiki_ext,19145
2018-02-09,wiki_ext,11370
2018-02-10,wiki_ext,8628
2018-02-11,wiki_ext,8836
2018-02-12,wiki_ext,10889
2018-02-13,wiki_ext,14455
2018-02-14,wiki_ext,11040
2018-02-15,wiki_ext,16246
2018-02-16,wiki_ext,26500
2018-02-17,wiki_ext,80682
2018-02-18,wiki_ext,54012
2018-02-19,wiki_ext,29889
2018-02-20,wiki_ext,21671
2018-02-21,wiki_ext,17365
2018-02-22,wiki_ext,29161
2018-02-23,wiki_ext,41643
2018-02-24,wiki_ext,26372
2018-02-25,wiki_ext,22208
2018-02-26,wiki_ext,20149
2018-02-27,wiki_ext,17360
2018-02-28,wiki_ext,15329
2018-03-01,wiki_ext,13505
2018-03-02,wiki_ext,12243
2018-03-03,wiki_ext,12247
2018-03-04,wiki_ext,20544
2018-03-05,wiki_ext,17559
2018-03-06,wiki_ext,14796
2018-03-07,wiki_ext,13221
2018-03-08,wiki_ext,13479
2018-03-09,wiki_ext,12265
2018-03-10,wiki_ext,10542
2018-03-11,wiki_ext,11692
2018-03-12,wiki_ext,12376
2018-03-13,wiki_ext,12731
2018-03-14,wiki_ext,12236
2018-03-15,wiki_ext,11854
2018-03-16,wiki_ext,10334
2018-03-17,wiki_ext,10263
2018-03-18,wiki_ext,10697
2018-03-19,wiki_ext,11683
2018-03-20,wiki_ext,13323
2018-03-21,wiki_ext,15053
2018-03-22,wiki_ext,16936
2018-03-23,wiki_ext,22111
2018-03-24,wiki_ext,13134
2018-03-25,wiki_ext,16029
2018-03-26,wiki_ext,16708
2018-03-27,wiki_ext,71609
2018-03-28,wiki_ext,45356
2018-03-29,wiki_ext,24298
2018-03-30,wiki_ext,24729
2018-03-31,wiki_ext,55644
2018-04-01,wiki_ext,23903
2018-04-02,wiki_ext,20064
2018-04-03,wiki_ext,17613
2018-04-04,wiki_ext,16646
2018-04-05,wiki_ext,17095
2018-04-06,wiki_ext,13146
2018-04-07,wiki_ext,10039
2018-04-08,wiki_ext,10044
2018-04-09,wiki_ext,12503
2018-04-10,wiki_ext,11303
2018-04-11,wiki_ext,11857
2018-04-12,wiki_ext,11792
2018-04-13,wiki_ext,10243
2018-04-14,wiki_ext,9642
2018-04-15,wiki_ext,11501
2018-04-16,wiki_ext,12710
2018-04-17,wiki_ext,11917
2018-04-18,wiki_ext,13579
2018-04-19,wiki_ext,13049
2018-04-20,wiki_ext,12005
2018-04-21,wiki_ext,8861
2018-04-22,wiki_ext,9341
2018-04-23,wiki_ext,12487
2018-04-24,wiki_ext,13430
2018-04-25,wiki_ext,14361
2018-04-26,wiki_ext,12901
2018-04-27,wiki_ext,11962
2018-04-28,wiki_ext,8331
2018-04-29,wiki_ext,15759
2018-04-30,wiki_ext,13095
2018-05-01,wiki_ext,12127
2018-05-02,wiki_ext,11309
2018-05-03,wiki_ext,10755
2018-05-04,wiki_ext,8952
2018-05-05,wiki_ext,7477
2018-05-06,wiki_ext,8515
2018-05-07,wiki_ext,11779
2018-05-08,wiki_ext,13439
2018-05-09,wiki_ext,11677
2018-05-10,wiki_ext,11665
2018-05-11,wiki_ext,11994
2018-05-12,wiki_ext,8920
2018-05-13,wiki_ext,10044
2018-05-14,wiki_ext,11413
2018-05-15,wiki_ext,11471
2018-05-16,wiki_ext,11865
2018-05-17,wiki_ext,12377
2018-05-18,wiki_ext,12879
2018-05-19,wiki_ext,12216
2018-05-20,wiki_ext,15894
2018-05-21,wiki_ext,20676
2018-05-22,wiki_ext,13561
2018-05-23,wiki_ext,12533
2018-05-24,wiki_ext,17593
2018-05-25,wiki_ext,13732
2018-05-26,wiki_ext,9759
2018-05-27,wiki_ext,9294
2018-05-28,wiki_ext,10842
2018-05-29,wiki_ext,10496
2018-05-30,wiki_ext,11304
2018-05-31,wiki_ext,10563
2018-06-01,wiki_ext,9905
2018-06-02,wiki_ext,8731
2018-06-03,wiki_ext,8673
2018-06-04,wiki_ext,11221
2018-06-05,wiki_ext,11132
2018-06-06,wiki_ext,12360
2018-06-07,wiki_ext,19544
2018-06-08,wiki_ext,13336
2018-06-09,wiki_ext,8508
2018-06-10,wiki_ext,8641
2018-06-11,wiki_ext,9405
2018-06-12,wiki_ext,8488
2018-06-13,wiki_ext,8522
2018-06-14,wiki_ext,7913
2018-06-15,wiki_ext,6861
2018-06-16,wiki_ext,6455
2018-06-17,wiki_ext,7055
2018-06-18,wiki_ext,8105
2018-06-19,wiki_ext,12797
2018-06-20,wiki_ext,9311
2018-06-21,wiki_ext,9443
2018-06-22,wiki_ext,10816
2018-06-23,wiki_ext,10320
2018-06-24,wiki_ext,12059
2018-06-25,wiki_ext,15488
2018-06-26,wiki_ext,19375
2018-06-27,wiki_ext,18486
2018-06-28,wiki_ext,11367
2018-06-29,wiki_ext,12273
2018-06-30,wiki_ext,9952
2018-07-01,wiki_ext,9329
2018-07-02,wiki_ext,9666
2018-07-03,wiki_ext,8609
2018-07-04,wiki_ext,7933
2018-07-05,wiki_ext,9923
2018-07-06,wiki_ext,11153
2018-07-07,wiki_ext,12342
2018-07-08,wiki_ext,11072
2018-07-09,wiki_ext,10194
2018-07-10,wiki_ext,9735
2018-07-11,wiki_ext,9663
2018-07-12,wiki_ext,9563
2018-07-13,wiki_ext,13556
2018-07-14,wiki_ext,17011
2018-07-15,wiki_ext,15700
2018-07-16,wiki_ext,15267
2018-07-17,wiki_ext,17015
2018-07-18,wiki_ext,15674
2018-07-19,wiki_ext,11398
2018-07-20,wiki_ext,9876
2018-07-21,wiki_ext,9017
2018-07-22,wiki_ext,10100
2018-07-23,wiki_ext,10366
2018-07-24,wiki_ext,10445
2018-07-25,wiki_ext,10602
2018-07-26,wiki_ext,10702
2018-07-27,wiki_ext,10120
2018-07-28,wiki_ext,8511
2018-07-29,wiki_ext,9174
2018-07-30,wiki_ext,11169
2018-07-31,wiki_ext,13797
2018-08-01,wiki_ext,11550
2018-08-02,wiki_ext,12364
2018-08-03,wiki_ext,10088
2018-08-04,wiki_ext,8443
2018-08-05,wiki_ext,15310
2018-08-06,wiki_ext,13336
2018-08-07,wiki_ext,11438
2018-08-08,wiki_ext,12424
2018-08-09,wiki_ext,16059
2018-08-10,wiki_ext,16367
2018-08-11,wiki_ext,18232
2018-08-12,wiki_ext,25010
2018-08-13,wiki_ext,22206
2018-08-14,wiki_ext,12752
2018-08-15,wiki_ext,11251
2018-08-16,wiki_ext,11949
2018-08-17,wiki_ext,12517
2018-08-18,wiki_ext,14620
2018-08-19,wiki_ext,16920
2018-08-20,wiki_ext,14869
2018-08-21,wiki_ext,14010
2018-08-22,wiki_ext,13442
2018-08-23,wiki_ext,12622
2018-08-24,wiki_ext,11082
2018-08-25,wiki_ext,9475
2018-08-26,wiki_ext,9350
2018-08-27,wiki_ext,10489
2018-08-28,wiki_ext,31780
2018-08-29,wiki_ext,36300
2018-08-30,wiki_ext,28931
2018-08-31,wiki_ext,150731
2018-09-01,wiki_ext,197916
2018-09-02,wiki_ext,57213
2018-09-03,wiki_ext,32168
2018-09-04,wiki_ext,31916
2018-09-05,wiki_ext,31597
2018-09-06,wiki_ext,24730
2018-09-07,wiki_ext,18867
2018-09-08,wiki_ext,16958
2018-09-09,wiki_ext,17348
2018-09-10,wiki_ext,18966
2018-09-11,wiki_ext,18591
2018-09-12,wiki_ext,16888
2018-09-13,wiki_ext,15118
2018-09-14,wiki_ext,15583
2018-09-15,wiki_ext,12685
2018-09-16,wiki_ext,12789
2018-09-17,wiki_ext,20575
2018-09-18,wiki_ext,26452
2018-09-19,wiki_ext,16116
2018-09-20,wiki_ext,15957
2018-09-21,wiki_ext,13141
2018-09-22,wiki_ext,9453
2018-09-23,wiki_ext,10517
2018-09-24,wiki_ext,13987
2018-09-25,wiki_ext,14440
2018-09-26,wiki_ext,13697
2018-09-27,wiki_ext,22935
2018-09-28,wiki_ext,19277
2018-09-29,wiki_ext,11742
2018-09-30,wiki_ext,11083
2018-10-01,wiki_ext,12573
2018-10-02,wiki_ext,15646
2018-10-03,wiki_ext,18918
2018-10-04,wiki_ext,32154
2018-10-05,wiki_ext,167813
2018-10-06,wiki_ext,81844
