article,person,death_date,date_source,wd_precision,country,in_registry,decision,reason
Killing_of_Corey_Ruiz,Corey Ruiz,,unresolved,none,,False,exclude,"no date of death in Wikidata, and no registry match"
Killing_of_Eurie_Martin,Eurie Martin,,unresolved,none,,False,exclude,"no date of death in Wikidata, and no registry match"
Killing_of_Fong_Lee,Fong Lee,,unresolved,none,United States,False,exclude,"no date of death in Wikidata, and no registry match"
Killing_of_Irvo_Otieno,Irvo Otieno,,unresolved,none,,False,exclude,"no date of death in Wikidata, and no registry match"
Killing_of_Kenneth_Chamberlain_Sr.,Kenneth Chamberlain Sr.,,unresolved,none,United States,False,exclude,"no date of death in Wikidata, and no registry match"
Killing_of_Luana_Barbosa_dos_Reis,Luana Barbosa dos Reis,,unresolved,none,Brazil,False,exclude,not a US killing (country=Brazil)
Killing_of_Malice_Green,Malice Green,,unresolved,none,,False,exclude,"no date of death in Wikidata, and no registry match"
Killing_of_Messiah_Nantwi,Messiah Nantwi,,unresolved,none,,False,exclude,"no date of death in Wikidata, and no registry match"
Killing_of_Ousmane_Zongo,Ousmane Zongo,,unresolved,none,,False,exclude,"no date of death in Wikidata, and no registry match"
Murder_of_David_Dorn,David Dorn,,unresolved,none,,False,exclude,"no date of death in Wikidata, and no registry match"
Murder_of_Garrett_Foster,Garrett Foster,,unresolved,none,,False,exclude,"no date of death in Wikidata, and no registry match"
Murder_of_Jessie_Davis,Jessie Davis,,unresolved,none,,False,exclude,"no date of death in Wikidata, and no registry match"
Murder_of_James_Craig_Anderson,James Craig Anderson,2013-01-27,registry,none,United States,False,include,"in range (2013-01-27, registry)"
Death_of_Tyrone_West,Tyrone West,2013-07-18,registry,none,,True,include,"in range (2013-07-18, registry)"
Killing_of_Larry_Jackson_Jr.,Larry Jackson Jr.,2013-07-26,wikidata,day,United States,False,include,"in range (2013-07-26, wikidata)"
Killing_of_Jonathan_Ferrell,Jonathan Ferrell,2013-09-14,wikidata,day,United States,False,include,"in range (2013-09-14, wikidata)"
