name,article,date,views
George Floyd,Killing_of_George_Floyd,2020-10-20,4922
George Floyd,Killing_of_George_Floyd,2020-10-21,5174
George Floyd,Killing_of_George_Floyd,2020-10-22,6204
George Floyd,Killing_of_George_Floyd,2020-10-23,6183
George Floyd,Killing_of_George_Floyd,2020-10-24,3959
George Floyd,Killing_of_George_Floyd,2020-10-25,4411
George Floyd,Killing_of_George_Floyd,2020-10-26,5193
George Floyd,Killing_of_George_Floyd,2020-10-27,5335
George Floyd,Killing_of_George_Floyd,2020-10-28,5747
George Floyd,Killing_of_George_Floyd,2020-10-29,5430
George Floyd,Killing_of_George_Floyd,2020-10-30,5298
George Floyd,Killing_of_George_Floyd,2020-10-31,4205
George Floyd,Killing_of_George_Floyd,2020-11-01,4380
George Floyd,Killing_of_George_Floyd,2020-11-02,5283
George Floyd,Killing_of_George_Floyd,2020-11-03,6283
George Floyd,Killing_of_George_Floyd,2020-11-04,8562
George Floyd,Killing_of_George_Floyd,2020-11-05,7033
George Floyd,Killing_of_George_Floyd,2020-11-06,6903
George Floyd,Killing_of_George_Floyd,2020-11-07,5894
George Floyd,Killing_of_George_Floyd,2020-11-08,5998
George Floyd,Killing_of_George_Floyd,2020-11-09,5740
George Floyd,Killing_of_George_Floyd,2020-11-10,5475
George Floyd,Killing_of_George_Floyd,2020-11-11,4994
George Floyd,Killing_of_George_Floyd,2020-11-12,5158
George Floyd,Killing_of_George_Floyd,2020-11-13,4430
George Floyd,Killing_of_George_Floyd,2020-11-14,4037
George Floyd,Killing_of_George_Floyd,2020-11-15,4451
George Floyd,Killing_of_George_Floyd,2020-11-16,5490
George Floyd,Killing_of_George_Floyd,2020-11-17,4871
George Floyd,Killing_of_George_Floyd,2020-11-18,4813
George Floyd,Killing_of_George_Floyd,2020-11-19,4482
George Floyd,Killing_of_George_Floyd,2020-11-20,4496
George Floyd,Killing_of_George_Floyd,2020-11-21,4181
George Floyd,Killing_of_George_Floyd,2020-11-22,4394
George Floyd,Killing_of_George_Floyd,2020-11-23,4803
George Floyd,Killing_of_George_Floyd,2020-11-24,4502
George Floyd,Killing_of_George_Floyd,2020-11-25,4350
George Floyd,Killing_of_George_Floyd,2020-11-26,4348
George Floyd,Killing_of_George_Floyd,2020-11-27,3843
George Floyd,Killing_of_George_Floyd,2020-11-28,3510
George Floyd,Killing_of_George_Floyd,2020-11-29,4293
George Floyd,Killing_of_George_Floyd,2020-11-30,5014
George Floyd,Killing_of_George_Floyd,2020-12-01,6145
George Floyd,Killing_of_George_Floyd,2020-12-02,5092
George Floyd,Killing_of_George_Floyd,2020-12-03,5149
George Floyd,Killing_of_George_Floyd,2020-12-04,4404
George Floyd,Killing_of_George_Floyd,2020-12-05,3918
George Floyd,Killing_of_George_Floyd,2020-12-06,4011
George Floyd,Killing_of_George_Floyd,2020-12-07,4819
George Floyd,Killing_of_George_Floyd,2020-12-08,4698
George Floyd,Killing_of_George_Floyd,2020-12-09,4993
George Floyd,Killing_of_George_Floyd,2020-12-10,5147
George Floyd,Killing_of_George_Floyd,2020-12-11,5079
George Floyd,Killing_of_George_Floyd,2020-12-12,3665
George Floyd,Killing_of_George_Floyd,2020-12-13,3776
George Floyd,Killing_of_George_Floyd,2020-12-14,4908
George Floyd,Killing_of_George_Floyd,2020-12-15,4917
George Floyd,Killing_of_George_Floyd,2020-12-16,4407
George Floyd,Killing_of_George_Floyd,2020-12-17,4592
George Floyd,Killing_of_George_Floyd,2020-12-18,4409
George Floyd,Killing_of_George_Floyd,2020-12-19,3527
George Floyd,Killing_of_George_Floyd,2020-12-20,3801
George Floyd,Killing_of_George_Floyd,2020-12-21,4348
George Floyd,Killing_of_George_Floyd,2020-12-22,4055
George Floyd,Killing_of_George_Floyd,2020-12-23,3422
George Floyd,Killing_of_George_Floyd,2020-12-24,3170
George Floyd,Killing_of_George_Floyd,2020-12-25,2921
George Floyd,Killing_of_George_Floyd,2020-12-26,3494
George Floyd,Killing_of_George_Floyd,2020-12-27,4238
George Floyd,Killing_of_George_Floyd,2020-12-28,4740
George Floyd,Killing_of_George_Floyd,2020-12-29,4916
George Floyd,Killing_of_George_Floyd,2020-12-30,5514
George Floyd,Killing_of_George_Floyd,2020-12-31,6209
Breonna Taylor,Killing_of_Breonna_Taylor,2020-05-13,4
Breonna Taylor,Killing_of_Breonna_Taylor,2020-05-14,0
Breonna Taylor,Killing_of_Breonna_Taylor,2020-05-15,0
Breonna Taylor,Killing_of_Breonna_Taylor,2020-05-16,0
Breonna Taylor,Killing_of_Breonna_Taylor,2020-05-17,0
Breonna Taylor,Killing_of_Breonna_Taylor,2020-05-18,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-05-21,0
Breonna Taylor,Killing_of_Breonna_Taylor,2020-05-22,0
Breonna Taylor,Killing_of_Breonna_Taylor,2020-05-27,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-05-28,0
Breonna Taylor,Killing_of_Breonna_Taylor,2020-05-29,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-05-30,4
Breonna Taylor,Killing_of_Breonna_Taylor,2020-05-31,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-06-01,0
Breonna Taylor,Killing_of_Breonna_Taylor,2020-06-02,0
Breonna Taylor,Killing_of_Breonna_Taylor,2020-06-03,5
Breonna Taylor,Killing_of_Breonna_Taylor,2020-06-04,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-06-05,3
Breonna Taylor,Killing_of_Breonna_Taylor,2020-06-06,10
Breonna Taylor,Killing_of_Breonna_Taylor,2020-06-07,3
Breonna Taylor,Killing_of_Breonna_Taylor,2020-06-08,4
Breonna Taylor,Killing_of_Breonna_Taylor,2020-06-09,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-06-10,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-06-11,3
Breonna Taylor,Killing_of_Breonna_Taylor,2020-06-12,3
Breonna Taylor,Killing_of_Breonna_Taylor,2020-06-13,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-06-14,4
Breonna Taylor,Killing_of_Breonna_Taylor,2020-06-15,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-06-16,5
Breonna Taylor,Killing_of_Breonna_Taylor,2020-06-17,4
Breonna Taylor,Killing_of_Breonna_Taylor,2020-06-18,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-06-19,3
Breonna Taylor,Killing_of_Breonna_Taylor,2020-06-20,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-06-21,5
Breonna Taylor,Killing_of_Breonna_Taylor,2020-06-22,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-06-23,4
Breonna Taylor,Killing_of_Breonna_Taylor,2020-06-26,4
Breonna Taylor,Killing_of_Breonna_Taylor,2020-06-27,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-06-28,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-06-29,3
Breonna Taylor,Killing_of_Breonna_Taylor,2020-06-30,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-07-01,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-07-02,4
Breonna Taylor,Killing_of_Breonna_Taylor,2020-07-03,0
Breonna Taylor,Killing_of_Breonna_Taylor,2020-07-04,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-07-05,3
Breonna Taylor,Killing_of_Breonna_Taylor,2020-07-06,2
