article,n_titles,canonical_views,all_titles_views,gain,titles
Killing_of_Alfred_Olango,3,8934,49833,5.58,Killing_of_Alfred_Olango | Alfred_Olango | Shooting_of_Alfred_Olango
Killing_of_Alton_Sterling,7,128855,2083262,16.17,Killing_of_Alton_Sterling | Alton_Sterling | Alton_sterling | Murder_of_Alton_Sterling | Elton_Sterling | Shooting_of_Elton_Sterling | Shooting_of_Alton_Sterling
Killing_of_Alvin_Cole,3,25602,38285,1.5,Killing_of_Alvin_Cole | Alvin_Cole | Shooting_of_Alvin_Cole
Killing_of_Amadou_Diallo,15,449089,2772084,6.17,Killing_of_Amadou_Diallo | Amadou_Dialou | Amadou_Bailo_Diallo | Amadou_Diallo_(shooting_victim) | Amadaou_diallo | Amadu_diallo | Kadiatou_Diallo | Amadou_dialo | Amadou_Dialo | Amadou_Diallo | Diallo_Shooting | Amadou_Diallo_shooting | Amadu_Diallo | Shooting_of_Amadou_Diallo | Death_of_Amadou_Diallo
Killing_of_Amir_Locke,4,201123,207883,1.03,Killing_of_Amir_Locke | Amir_Locke | Draft:Killing_of_Amir_Locke | Amir_Lock
Killing_of_Andres_Guardado,4,130570,130998,1.0,Killing_of_Andres_Guardado | Killing_of_Andrés_Guardado | Andrés_Guardado_(security_guard) | Shooting_of_andres_guardado
Killing_of_Andrew_Brown_Jr.,7,117814,125142,1.06,"Killing_of_Andrew_Brown_Jr. | Andrew_Brown,_Jr. | Andrew_Brown_Jr. | Andrew_Brown_Jr | Death_of_Andrew_Brown_Jr. | Murder_of_Andrew_Brown_Jr. | Shooting_of_Andrew_Brown_Jr."
Killing_of_Angelo_Quinto,2,15299,16577,1.08,Killing_of_Angelo_Quinto | Angelo_Quinto
Killing_of_Anthony_Hill,4,14671,140549,9.58,Killing_of_Anthony_Hill | Anthony_Hill_shooting | Anthony_Hill_(shooting_victim) | Shooting_of_Anthony_Hill
Killing_of_Anthony_Weber,3,3023,18538,6.13,Killing_of_Anthony_Weber | Anthony_Weber_(shooting_victim) | Shooting_of_Anthony_Weber
Killing_of_Antonio_Martin,3,3842,62800,16.35,Killing_of_Antonio_Martin | Antonio_Martin_(shooting_victim) | Shooting_of_Antonio_Martin
Killing_of_Antonio_Zambrano-Montes,2,5110,52570,10.29,Killing_of_Antonio_Zambrano-Montes | Shooting_of_Antonio_Zambrano-Montes
Killing_of_Antwon_Rose_Jr.,7,34153,852944,24.97,Killing_of_Antwon_Rose_Jr. | Antwon_Rose | Death_of_Antwon_Rose | Killing_of_Antwon_Rose | Shooting_of_Antwon_Rose | Antwon_Rose_Jr. | Shooting_of_Antwon_Rose_Jr.
Killing_of_Atatiana_Jefferson,7,383446,790878,2.06,Killing_of_Atatiana_Jefferson | Atatiana_Jefferson | Atatiana_Koquice_Jefferson | Atatiana | Atatiana_K._Jefferson | Murder_of_Atatiana_Jefferson | Shooting_of_Atatiana_Jefferson
Killing_of_Breonna_Taylor,5,1996247,14736819,7.38,Killing_of_Breonna_Taylor | Murder_of_Breonna_Taylor | Shooting_of_Breonna_Taylor | Death_of_Breonna_Taylor | Arrest_the_cops_that_killed_Breonna_Taylor
Killing_of_Carlos_Carson,2,779,5614,7.21,Killing_of_Carlos_Carson | Shooting_of_Carlos_Carson
Killing_of_Casey_Goodson,2,188,858,4.56,Killing_of_Casey_Goodson | Casey_Goodson
Killing_of_Charley_Leundeu_Keunang,4,9735,49562,5.09,Killing_of_Charley_Leundeu_Keunang | Charley_Leundeu_Keunang | Charly_Keunang | Shooting_of_Charley_Leundeu_Keunang
Killing_of_Christian_Hall,2,26999,31290,1.16,Killing_of_Christian_Hall | Christian_Hall
Killing_of_Corey_Jones,4,14705,658568,44.79,Killing_of_Corey_Jones | Corey_Jones_(musician) | Manslaughter_of_Corey_Jones | Shooting_of_Corey_Jones
Killing_of_Daniel_Hambrick,3,17479,17679,1.01,Killing_of_Daniel_Hambrick | Draft:Killing_of_Daniel_Hambrick | Daniel_Hambrick
Killing_of_Daniel_Prude,3,312655,319748,1.02,Killing_of_Daniel_Prude | Daniel_Prude | Death_of_Daniel_Prude
Killing_of_Daunte_Wright,14,1615050,1691884,1.05,"Killing_of_Daunte_Wright | Daunte_Wright | User:EDG_543/Killing_of_Daunte_Wright | Dante_Wright | Killing_of_Dante_Wright | Daunte_Wright_shooting | Murder_of_Daunte_Wright | Death_of_Daunte_Wright | Shooting_of_Daunte_Wright | Duante_Wright | Killing_of_Duante_Wright | Daunte_Demetrius_Wright | Wright,_Daunte | Manslaughter_of_Daunte_Wright"
Killing_of_David_McAtee,8,26329,407361,15.47,"Killing_of_David_McAtee | David_McAtee | Dave_McAtee | David_McAttee | McAtee,_David | David_Macatee | Death_of_David_McAtee | Shooting_of_David_McAtee"
Killing_of_Deborah_Danner,4,6535,57334,8.77,Killing_of_Deborah_Danner | Deborah_Danner_shooting | Deborah_Danner | Shooting_of_Deborah_Danner
Killing_of_Deona_Marie_Knajdek,7,14548,35552,2.44,Killing_of_Deona_Marie_Knajdek | Deona_Erickson | Deona_Knajdek | Deona_Marie | Killing_of_Deona_M._Knajdek | Killing_of_Deona_Knajdek | Deona_Marie_Erickson
Killing_of_Dhal_Apet_and_Lueth_Mo,1,5430,5430,1.0,Killing_of_Dhal_Apet_and_Lueth_Mo
Killing_of_Dijon_Kizzee,5,17068,30005,1.76,Killing_of_Dijon_Kizzee | Shooting_of_Dijon_Kizee | Dijon_Kizzee | Shooting_of_Dijon_Kizzee | Kizzee
Killing_of_Dion_Johnson,4,2668,40517,15.19,Killing_of_Dion_Johnson | Death_of_Dion_Johnson | Dion_Johnson | Shooting_of_Dion_Johnson
Killing_of_Dolal_Idd,4,73667,79613,1.08,Killing_of_Dolal_Idd | Dolal_Idd | Dolal_Bayle_Idd | Dolal_Idd_protests
Killing_of_Donovan_Lewis,3,42246,42474,1.01,Killing_of_Donovan_Lewis | Draft:Killing_of_Donovan_Lewis | Donovan_Lewis
Killing_of_Dontre_Hamilton,3,13149,183438,13.95,Killing_of_Dontre_Hamilton | Dontre_Hamilton | Shooting_of_Dontre_Hamilton
Killing_of_Duncan_Lemp,5,79828,671475,8.41,Killing_of_Duncan_Lemp | Duncan_lemp | Duncan_Lemp | Duncan_Lemp_killing | Shooting_of_Duncan_Lemp
