date,article,views
2015-07-22,Killing_of_Daniel_Prude,0.0
2015-07-22,Killing_of_Deborah_Danner,0.0
2015-07-22,Killing_of_Gidone_Busch,0.0
2015-07-22,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-07-22,Killing_of_Randolph_Evans,0.0
2015-07-22,Killing_of_Sean_Bell,0.0
2015-07-23,Daniel_Prude,0.0
2015-07-23,Death_of_Anthony_Baez,0.0
2015-07-23,Death_of_Michael_Stewart,89.0
2015-07-23,Killing_of_Akai_Gurley,0.0
2015-07-23,Killing_of_Amadou_Diallo,0.0
2015-07-23,Killing_of_Daniel_Prude,0.0
2015-07-23,Killing_of_Deborah_Danner,0.0
2015-07-23,Killing_of_Gidone_Busch,0.0
2015-07-23,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-07-23,Killing_of_Randolph_Evans,0.0
2015-07-23,Killing_of_Sean_Bell,0.0
2015-07-24,Daniel_Prude,0.0
2015-07-24,Death_of_Anthony_Baez,0.0
2015-07-24,Death_of_Michael_Stewart,62.0
2015-07-24,Killing_of_Akai_Gurley,0.0
2015-07-24,Killing_of_Amadou_Diallo,0.0
2015-07-24,Killing_of_Daniel_Prude,0.0
2015-07-24,Killing_of_Deborah_Danner,0.0
2015-07-24,Killing_of_Gidone_Busch,0.0
2015-07-24,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-07-24,Killing_of_Randolph_Evans,0.0
2015-07-24,Killing_of_Sean_Bell,0.0
2015-07-25,Daniel_Prude,0.0
2015-07-25,Death_of_Anthony_Baez,0.0
2015-07-25,Death_of_Michael_Stewart,77.0
2015-07-25,Killing_of_Akai_Gurley,0.0
2015-07-25,Killing_of_Amadou_Diallo,0.0
2015-07-25,Killing_of_Daniel_Prude,0.0
2015-07-25,Killing_of_Deborah_Danner,0.0
2015-07-25,Killing_of_Gidone_Busch,0.0
2015-07-25,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-07-25,Killing_of_Randolph_Evans,0.0
2015-07-25,Killing_of_Sean_Bell,0.0
2015-07-26,Daniel_Prude,0.0
2015-07-26,Death_of_Anthony_Baez,0.0
2015-07-26,Death_of_Michael_Stewart,99.0
2015-07-26,Killing_of_Akai_Gurley,0.0
2015-07-26,Killing_of_Amadou_Diallo,0.0
2015-07-26,Killing_of_Daniel_Prude,0.0
2015-07-26,Killing_of_Deborah_Danner,0.0
2015-07-26,Killing_of_Gidone_Busch,0.0
2015-07-26,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-07-26,Killing_of_Randolph_Evans,0.0
2015-07-26,Killing_of_Sean_Bell,0.0
2015-07-27,Daniel_Prude,0.0
2015-07-27,Death_of_Anthony_Baez,0.0
2015-07-27,Death_of_Michael_Stewart,84.0
2015-07-27,Killing_of_Akai_Gurley,0.0
2015-07-27,Killing_of_Amadou_Diallo,0.0
2015-07-27,Killing_of_Daniel_Prude,0.0
2015-07-27,Killing_of_Deborah_Danner,0.0
2015-07-27,Killing_of_Gidone_Busch,0.0
2015-07-27,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-07-27,Killing_of_Randolph_Evans,0.0
2015-07-27,Killing_of_Sean_Bell,0.0
2015-07-28,Daniel_Prude,0.0
2015-07-28,Death_of_Anthony_Baez,0.0
2015-07-28,Death_of_Michael_Stewart,52.0
2015-07-28,Killing_of_Akai_Gurley,0.0
2015-07-28,Killing_of_Amadou_Diallo,0.0
2015-07-28,Killing_of_Daniel_Prude,0.0
2015-07-28,Killing_of_Deborah_Danner,0.0
2015-07-28,Killing_of_Gidone_Busch,0.0
2015-07-28,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-07-28,Killing_of_Randolph_Evans,0.0
2015-07-28,Killing_of_Sean_Bell,0.0
2015-07-29,Daniel_Prude,0.0
2015-07-29,Death_of_Anthony_Baez,0.0
2015-07-29,Death_of_Michael_Stewart,42.0
2015-07-29,Killing_of_Akai_Gurley,0.0
2015-07-29,Killing_of_Amadou_Diallo,0.0
2015-07-29,Killing_of_Daniel_Prude,0.0
2015-07-29,Killing_of_Deborah_Danner,0.0
2015-07-29,Killing_of_Gidone_Busch,0.0
2015-07-29,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-07-29,Killing_of_Randolph_Evans,0.0
2015-07-29,Killing_of_Sean_Bell,0.0
2015-07-30,Daniel_Prude,0.0
2015-07-30,Death_of_Anthony_Baez,0.0
2015-07-30,Death_of_Michael_Stewart,52.0
2015-07-30,Killing_of_Akai_Gurley,0.0
2015-07-30,Killing_of_Amadou_Diallo,0.0
2015-07-30,Killing_of_Daniel_Prude,0.0
2015-07-30,Killing_of_Deborah_Danner,0.0
2015-07-30,Killing_of_Gidone_Busch,0.0
2015-07-30,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-07-30,Killing_of_Randolph_Evans,0.0
2015-07-30,Killing_of_Sean_Bell,0.0
2015-07-31,Daniel_Prude,0.0
2015-07-31,Death_of_Anthony_Baez,0.0
2015-07-31,Death_of_Michael_Stewart,43.0
2015-07-31,Killing_of_Akai_Gurley,0.0
2015-07-31,Killing_of_Amadou_Diallo,0.0
2015-07-31,Killing_of_Daniel_Prude,0.0
2015-07-31,Killing_of_Deborah_Danner,0.0
2015-07-31,Killing_of_Gidone_Busch,0.0
2015-07-31,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-07-31,Killing_of_Randolph_Evans,0.0
2015-07-31,Killing_of_Sean_Bell,0.0
2015-08-01,Daniel_Prude,0.0
2015-08-01,Death_of_Anthony_Baez,0.0
2015-08-01,Death_of_Michael_Stewart,35.0
2015-08-01,Killing_of_Akai_Gurley,0.0
2015-08-01,Killing_of_Amadou_Diallo,0.0
2015-08-01,Killing_of_Daniel_Prude,0.0
2015-08-01,Killing_of_Deborah_Danner,0.0
2015-08-01,Killing_of_Gidone_Busch,0.0
2015-08-01,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-08-01,Killing_of_Randolph_Evans,0.0
2015-08-01,Killing_of_Sean_Bell,0.0
2015-08-02,Daniel_Prude,0.0
2015-08-02,Death_of_Anthony_Baez,0.0
2015-08-02,Death_of_Michael_Stewart,53.0
2015-08-02,Killing_of_Akai_Gurley,0.0
2015-08-02,Killing_of_Amadou_Diallo,0.0
2015-08-02,Killing_of_Daniel_Prude,0.0
2015-08-02,Killing_of_Deborah_Danner,0.0
2015-08-02,Killing_of_Gidone_Busch,0.0
2015-08-02,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-08-02,Killing_of_Randolph_Evans,0.0
2015-08-02,Killing_of_Sean_Bell,0.0
2015-08-03,Daniel_Prude,0.0
2015-08-03,Death_of_Anthony_Baez,0.0
2015-08-03,Death_of_Michael_Stewart,49.0
2015-08-03,Killing_of_Akai_Gurley,0.0
2015-08-03,Killing_of_Amadou_Diallo,0.0
2015-08-03,Killing_of_Daniel_Prude,0.0
2015-08-03,Killing_of_Deborah_Danner,0.0
2015-08-03,Killing_of_Gidone_Busch,0.0
2015-08-03,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-08-03,Killing_of_Randolph_Evans,0.0
2015-08-03,Killing_of_Sean_Bell,0.0
2015-08-04,Daniel_Prude,0.0
2015-08-04,Death_of_Anthony_Baez,0.0
2015-08-04,Death_of_Michael_Stewart,37.0
2015-08-04,Killing_of_Akai_Gurley,0.0
2015-08-04,Killing_of_Amadou_Diallo,0.0
2015-08-04,Killing_of_Daniel_Prude,0.0
2015-08-04,Killing_of_Deborah_Danner,0.0
2015-08-04,Killing_of_Gidone_Busch,0.0
2015-08-04,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-08-04,Killing_of_Randolph_Evans,0.0
2015-08-04,Killing_of_Sean_Bell,0.0
2015-08-05,Daniel_Prude,0.0
2015-08-05,Death_of_Anthony_Baez,0.0
2015-08-05,Death_of_Michael_Stewart,37.0
2015-08-05,Killing_of_Akai_Gurley,0.0
2015-08-05,Killing_of_Amadou_Diallo,0.0
2015-08-05,Killing_of_Daniel_Prude,0.0
2015-08-05,Killing_of_Deborah_Danner,0.0
2015-08-05,Killing_of_Gidone_Busch,0.0
2015-08-05,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-08-05,Killing_of_Randolph_Evans,0.0
2015-08-05,Killing_of_Sean_Bell,0.0
2015-08-06,Daniel_Prude,0.0
2015-08-06,Death_of_Anthony_Baez,0.0
2015-08-06,Death_of_Michael_Stewart,57.0
2015-08-06,Killing_of_Akai_Gurley,0.0
2015-08-06,Killing_of_Amadou_Diallo,0.0
2015-08-06,Killing_of_Daniel_Prude,0.0
2015-08-06,Killing_of_Deborah_Danner,0.0
2015-08-06,Killing_of_Gidone_Busch,0.0
2015-08-06,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-08-06,Killing_of_Randolph_Evans,0.0
2015-08-06,Killing_of_Sean_Bell,0.0
2015-08-07,Daniel_Prude,0.0
2015-08-07,Death_of_Anthony_Baez,0.0
2015-08-07,Death_of_Michael_Stewart,49.0
2015-08-07,Killing_of_Akai_Gurley,0.0
2015-08-07,Killing_of_Amadou_Diallo,0.0
2015-08-07,Killing_of_Daniel_Prude,0.0
2015-08-07,Killing_of_Deborah_Danner,0.0
2015-08-07,Killing_of_Gidone_Busch,0.0
2015-08-07,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-08-07,Killing_of_Randolph_Evans,0.0
2015-08-07,Killing_of_Sean_Bell,0.0
2015-08-08,Daniel_Prude,0.0
2015-08-08,Death_of_Anthony_Baez,0.0
2015-08-08,Death_of_Michael_Stewart,40.0
2015-08-08,Killing_of_Akai_Gurley,0.0
2015-08-08,Killing_of_Amadou_Diallo,0.0
2015-08-08,Killing_of_Daniel_Prude,0.0
2015-08-08,Killing_of_Deborah_Danner,0.0
2015-08-08,Killing_of_Gidone_Busch,0.0
2015-08-08,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-08-08,Killing_of_Randolph_Evans,0.0
2015-08-08,Killing_of_Sean_Bell,0.0
2015-08-09,Daniel_Prude,0.0
2015-08-09,Death_of_Anthony_Baez,0.0
2015-08-09,Death_of_Michael_Stewart,64.0
2015-08-09,Killing_of_Akai_Gurley,0.0
2015-08-09,Killing_of_Amadou_Diallo,0.0
2015-08-09,Killing_of_Daniel_Prude,0.0
2015-08-09,Killing_of_Deborah_Danner,0.0
2015-08-09,Killing_of_Gidone_Busch,0.0
2015-08-09,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-08-09,Killing_of_Randolph_Evans,0.0
2015-08-09,Killing_of_Sean_Bell,0.0
